Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.33815136639863297,1.0230354502046153,-0.6066930059575031,3,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3214848056320406,1.02331613117321,-0.6070683159596416,3,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.3153726105428105,1.582119441037987,-0.6503543539206349,3,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14642098044828872,-1.3717698433565346,0.23230928574255438,0,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.13665432886088588,-2.100446788120207,0.4463666080400438,0,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.17116627971397394,-1.1101088691283592,-0.02633998842578368,0,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.3902754374159346,1.2587771706989854,-0.5097708406594957,3,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.12727776566401935,-2.282381514211972,0.4370274428762582,0,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.13509672091983585,-2.100536856161718,0.4463452746416292,0,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.15342268399986259,-2.031310736184654,0.4324705424337283,0,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.29308093983671607,1.5767803396237459,-0.14724980597886178,3,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.14773280538635372,-1.8251034963389998,0.335450490222144,0,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.312236577184139,0.7613595822855257,-0.3480659801911862,3,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2663782868538901,0.5975869962537952,-0.04382663042341805,3,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.1723127112176562,-1.110109016201511,-0.026316436168734424,0,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.27135972744305237,1.8765370869519586,-0.6648614308144081,3,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2246443877425227,-0.8743589116395508,0.07060900036217016,0,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.17192929757665834,-1.1101248795659933,-0.026322432779917145,0,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3378108853521364,1.0230369029670245,-0.6067001672879991,3,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3303852907377863,1.0233461106513162,-0.6068891419350257,3,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.10568956992475523,-1.8214545726616334,0.34022179394593643,0,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.548826385140608,-1.2798722417352997,-0.062118961482728774,0,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.14350537104725092,-1.3717611784220853,0.23224840789089024,0,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.1691844161933728,-1.1101500396287707,-0.026375809024274107,0,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.17173342192093638,-1.1101431656749239,-0.026324293187095407,0,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.3366473080698607,1.023095615936127,-0.6067309916771885,3,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.23051128936647441,-0.44504971063006815,0.029956351901096637,0,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.20660339087777702,-1.2054165225939621,0.09769811380912216,0,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.17178195260635082,-1.1101074962983861,-0.026327511605280646,0,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3381473033727754,1.0230352499655861,-0.6066930657063486,3,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.17229496936239258,-1.1101083064875727,-0.026316884247817595,0,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3381315803767214,1.0230355161209994,-0.6066934199297458,3,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.17238142336745868,-1.1101060616310914,-0.026315374702016545,0,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.2247337596470644,-0.8743610355173116,0.0706110860188764,0,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6836033753545463,0.47317817029609044,-0.2628687311652579,3,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3733521695730618,0.9277340714933957,-0.4826604962706518,3,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.1715150479430452,-1.8209268646229977,0.334468757948332,0,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23148726716173032,-1.3718750143509815,0.22456370470384174,0,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.07639109659350853,-1.1099406595683146,-0.03144192336067293,0,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.17212764540427017,-1.110101613154576,-0.02632111009481155,0,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.1677324179934743,-1.1101280858206983,-0.02640821088818954,0,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.17206696780863937,-1.110107167506865,-0.026321699431287367,0,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.32257024110886395,1.591935262716042,-0.10810849120998299,3,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.39337365768015087,0.700082530744048,-0.48528940892809974,3,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.17243844202085545,-1.110106960828204,-0.026314097927514782,0,Franko
